Term,Correlation,F-stat,p-val,FDR
~ factor II,0.0393265745162059,28.66378378546142,8.712545360306347e-08,1.617511456035353e-05
~ chromosome,-0.0393265207466329,28.663705282529783,8.71289801536414e-08,1.617511456035353e-05
~ FANCD2,-0.0393240879123141,28.660153486596233,8.72886855578661e-08,1.617511456035353e-05
RNA polymerase i,-0.0391033822077992,28.33885584598696,1.0301875875277905e-07,1.8948583693261157e-05
~ different,0.0389592820006732,28.130060254520835,1.1473407284512663e-07,2.094824825600985e-05
~ accessibility,-0.0388240850487921,27.934870273177896,1.2689091098546906e-07,2.299874606335899e-05
VIRMA,0.0387051924187294,27.76378368277057,1.386039555018776e-07,2.493967260193567e-05
~ nucleosome,-0.0382951126553864,27.177728728709653,1.8757923202690665e-07,3.350920798892171e-05
11p15_5,-0.0381973364942361,27.038921488558373,2.015220390787603e-07,3.5742812516890694e-05
~ ribosome,-0.038112416974387,26.918655706462488,2.1443976098859898e-07,3.749877012612228e-05
~ chromosome 1,-0.0381123985628291,26.91862966060853,2.1444264660744089e-07,3.749877012612228e-05
~ peptidylprolyl isomerase a,-0.0380861398989845,26.881495802425857,2.185965464444109e-07,3.795783807525291e-05
~ complementation,-0.0380753138412325,26.866193557626016,2.2033167832806887e-07,3.799344378169637e-05
~ general transcription factor,0.0379218264156686,26.649715341271065,2.4641045198409975e-07,4.219736505667021e-05
